BRASILAGRO ON NM,AGRO3
BRASKEM PNA N1,BRKM5
CSNMINERACAO ON N2,CSNA3
ENAUTA PART ON NM,ENAT3
EUCATEX PN N1,EUCA4
EVEN ON NM,EVEN3
FER HERINGER ON NM,FHER3
FERBASA PN N1,FESA4
GERDAU MET PN N1,GOAU4
IRANI ON NM,RANI3
JALLESMACHAD ON NM,JALL3
KEPLER WEBER ON,KEPL3
LAVVI ON NM,LAVV3
MARFRIG ON NM,MRFG3
METAL LEVE ON NM,LEVE3
PETROBRAS PN N2,PETR4
PLANOEPLANO ON NM,PLPL3
POSITIVO TEC ON NM,POSI3
SID NACIONAL ON,CSNA3
UNIPAR PNB,UNIP6
USIMINAS PNA N1,USIM5
VALE ON NM,VALE3
WDC NETWORKS ON NM,LVTC3
CRUZEIRO EDU ON NM,CSED3
WIZ S.A. ON NM,WIZS3
BRASKEM PNA N1,BRKM5
CBA ON NM,CBAV3
CRUZEIRO EDU ON NM,CSED3
CSNMINERACAO ON N2,CSNA3
ENAUTA PART ON NM,ENAT3
FER HERINGER ON NM,FHER3
IRANI ON NM,RANI3
JALLESMACHAD ON NM,JALL3
JBS ON NM,JBSS3
LAVVI ON NM,LAVV3
PLANOEPLANO ON NM,PLPL3
POSITIVO TEC ON NM,POSI3
SID NACIONAL ON,CSNA3
SLC AGRICOLA ON NM,SLCE3
TECHNOS ON NM,TECN3
UNIPAR PNB,UNIP6
USIMINAS PNA N1,USIM5
VALE ON NM,VALE3
WDC NETWORKS ON NM,LVTC3
ISHARE SP500 CI,IVVB11
AERIS ON NM,AERI3
